,Energy,Transmission,Density,Thickness
0,10.0,6.5914e-08,2250.0,2.0000000000000002e-07
1,11.998,5.9779e-07,2250.0,2.0000000000000002e-07
2,13.996,9.5841e-07,2250.0,2.0000000000000002e-07
3,15.994,1.1188e-07,2250.0,2.0000000000000002e-07
4,17.992,8.4913e-09,2250.0,2.0000000000000002e-07
5,19.99,1.2152e-09,2250.0,2.0000000000000002e-07
6,21.988,1.2341e-09,2250.0,2.0000000000000002e-07
7,23.986,5.0246e-09,2250.0,2.0000000000000002e-07
8,25.984,3.6382e-08,2250.0,2.0000000000000002e-07
9,27.982,2.3911e-07,2250.0,2.0000000000000002e-07
10,29.98,1.5894e-06,2250.0,2.0000000000000002e-07
11,31.978,7.4541e-06,2250.0,2.0000000000000002e-07
12,33.976,2.5635e-05,2250.0,2.0000000000000002e-07
13,35.974,7.1868e-05,2250.0,2.0000000000000002e-07
14,37.972,0.00015381,2250.0,2.0000000000000002e-07
15,39.97,0.00033444,2250.0,2.0000000000000002e-07
16,41.968,0.0006589,2250.0,2.0000000000000002e-07
17,43.966,0.0011924,2250.0,2.0000000000000002e-07
18,45.964,0.0020125,2250.0,2.0000000000000002e-07
19,47.962,0.003283,2250.0,2.0000000000000002e-07
20,49.96,0.0050798,2250.0,2.0000000000000002e-07
21,51.958,0.0075093,2250.0,2.0000000000000002e-07
22,53.956,0.0097104,2250.0,2.0000000000000002e-07
23,55.954,0.012883,2250.0,2.0000000000000002e-07
24,57.952,0.016764,2250.0,2.0000000000000002e-07
25,59.95,0.021381,2250.0,2.0000000000000002e-07
26,61.948,0.026891,2250.0,2.0000000000000002e-07
27,63.946,0.033274,2250.0,2.0000000000000002e-07
28,65.944,0.040415,2250.0,2.0000000000000002e-07
29,67.942,0.048286,2250.0,2.0000000000000002e-07
30,69.94,0.056961,2250.0,2.0000000000000002e-07
31,71.938,0.066553,2250.0,2.0000000000000002e-07
32,73.936,0.076942,2250.0,2.0000000000000002e-07
33,75.934,0.087952,2250.0,2.0000000000000002e-07
34,77.932,0.09952,2250.0,2.0000000000000002e-07
35,79.93,0.11172,2250.0,2.0000000000000002e-07
36,81.928,0.12451,2250.0,2.0000000000000002e-07
37,83.926,0.13786,2250.0,2.0000000000000002e-07
38,85.924,0.15155,2250.0,2.0000000000000002e-07
39,87.922,0.16552,2250.0,2.0000000000000002e-07
40,89.92,0.17976,2250.0,2.0000000000000002e-07
41,91.918,0.19423,2250.0,2.0000000000000002e-07
42,93.916,0.20891,2250.0,2.0000000000000002e-07
43,95.914,0.22365,2250.0,2.0000000000000002e-07
44,97.912,0.2384,2250.0,2.0000000000000002e-07
45,99.91,0.25326,2250.0,2.0000000000000002e-07
46,101.91,0.26849,2250.0,2.0000000000000002e-07
47,103.91,0.28372,2250.0,2.0000000000000002e-07
48,105.9,0.29882,2250.0,2.0000000000000002e-07
49,107.9,0.31368,2250.0,2.0000000000000002e-07
50,109.9,0.32822,2250.0,2.0000000000000002e-07
51,111.9,0.34246,2250.0,2.0000000000000002e-07
52,113.9,0.35652,2250.0,2.0000000000000002e-07
53,115.89,0.37048,2250.0,2.0000000000000002e-07
54,117.89,0.38431,2250.0,2.0000000000000002e-07
55,119.89,0.39789,2250.0,2.0000000000000002e-07
56,121.89,0.41122,2250.0,2.0000000000000002e-07
57,123.89,0.42428,2250.0,2.0000000000000002e-07
58,125.88,0.43705,2250.0,2.0000000000000002e-07
59,127.88,0.44956,2250.0,2.0000000000000002e-07
60,129.88,0.46181,2250.0,2.0000000000000002e-07
61,131.88,0.47399,2250.0,2.0000000000000002e-07
62,133.88,0.48597,2250.0,2.0000000000000002e-07
63,135.87,0.49768,2250.0,2.0000000000000002e-07
64,137.87,0.50911,2250.0,2.0000000000000002e-07
65,139.87,0.52025,2250.0,2.0000000000000002e-07
66,141.87,0.53111,2250.0,2.0000000000000002e-07
67,143.87,0.5417,2250.0,2.0000000000000002e-07
68,145.86,0.55201,2250.0,2.0000000000000002e-07
69,147.86,0.56196,2250.0,2.0000000000000002e-07
70,149.86,0.57161,2250.0,2.0000000000000002e-07
71,151.86,0.58113,2250.0,2.0000000000000002e-07
72,153.86,0.59052,2250.0,2.0000000000000002e-07
73,155.85,0.59974,2250.0,2.0000000000000002e-07
74,157.85,0.60876,2250.0,2.0000000000000002e-07
75,159.85,0.61762,2250.0,2.0000000000000002e-07
76,161.85,0.62646,2250.0,2.0000000000000002e-07
77,163.85,0.6353,2250.0,2.0000000000000002e-07
78,165.84,0.64413,2250.0,2.0000000000000002e-07
79,167.84,0.6527,2250.0,2.0000000000000002e-07
80,169.84,0.66099,2250.0,2.0000000000000002e-07
81,171.84,0.66898,2250.0,2.0000000000000002e-07
82,173.84,0.67669,2250.0,2.0000000000000002e-07
83,175.83,0.68408,2250.0,2.0000000000000002e-07
84,177.83,0.69125,2250.0,2.0000000000000002e-07
85,179.83,0.69822,2250.0,2.0000000000000002e-07
86,181.83,0.70501,2250.0,2.0000000000000002e-07
87,183.83,0.71166,2250.0,2.0000000000000002e-07
88,185.82,0.71815,2250.0,2.0000000000000002e-07
89,187.82,0.72446,2250.0,2.0000000000000002e-07
90,189.82,0.14299,2250.0,2.0000000000000002e-07
91,191.82,0.14941,2250.0,2.0000000000000002e-07
92,193.82,0.1559,2250.0,2.0000000000000002e-07
93,195.81,0.16237,2250.0,2.0000000000000002e-07
94,197.81,0.16884,2250.0,2.0000000000000002e-07
95,199.81,0.17526,2250.0,2.0000000000000002e-07
96,201.81,0.18172,2250.0,2.0000000000000002e-07
97,203.81,0.18821,2250.0,2.0000000000000002e-07
98,205.8,0.19472,2250.0,2.0000000000000002e-07
99,207.8,0.20126,2250.0,2.0000000000000002e-07
100,209.8,0.20781,2250.0,2.0000000000000002e-07
101,211.8,0.21462,2250.0,2.0000000000000002e-07
102,213.8,0.22171,2250.0,2.0000000000000002e-07
103,215.79,0.2289,2250.0,2.0000000000000002e-07
104,217.79,0.23612,2250.0,2.0000000000000002e-07
105,219.79,0.24343,2250.0,2.0000000000000002e-07
106,221.79,0.25075,2250.0,2.0000000000000002e-07
107,223.79,0.25808,2250.0,2.0000000000000002e-07
108,225.78,0.26539,2250.0,2.0000000000000002e-07
109,227.78,0.2727,2250.0,2.0000000000000002e-07
110,229.78,0.27998,2250.0,2.0000000000000002e-07
111,231.78,0.28724,2250.0,2.0000000000000002e-07
112,233.78,0.29448,2250.0,2.0000000000000002e-07
113,235.77,0.30168,2250.0,2.0000000000000002e-07
114,237.77,0.30885,2250.0,2.0000000000000002e-07
115,239.77,0.31599,2250.0,2.0000000000000002e-07
116,241.77,0.32308,2250.0,2.0000000000000002e-07
117,243.77,0.33014,2250.0,2.0000000000000002e-07
118,245.76,0.33715,2250.0,2.0000000000000002e-07
119,247.76,0.34412,2250.0,2.0000000000000002e-07
120,249.76,0.35104,2250.0,2.0000000000000002e-07
121,251.76,0.35791,2250.0,2.0000000000000002e-07
122,253.76,0.36473,2250.0,2.0000000000000002e-07
123,255.75,0.37149,2250.0,2.0000000000000002e-07
124,257.75,0.37821,2250.0,2.0000000000000002e-07
125,259.75,0.38487,2250.0,2.0000000000000002e-07
126,261.75,0.39147,2250.0,2.0000000000000002e-07
127,263.75,0.39802,2250.0,2.0000000000000002e-07
128,265.74,0.4045,2250.0,2.0000000000000002e-07
129,267.74,0.41093,2250.0,2.0000000000000002e-07
130,269.74,0.41729,2250.0,2.0000000000000002e-07
131,271.74,0.4236,2250.0,2.0000000000000002e-07
132,273.74,0.4299,2250.0,2.0000000000000002e-07
133,275.73,0.43617,2250.0,2.0000000000000002e-07
134,277.73,0.44243,2250.0,2.0000000000000002e-07
135,279.73,0.4487,2250.0,2.0000000000000002e-07
136,281.73,0.45492,2250.0,2.0000000000000002e-07
137,283.73,0.46113,2250.0,2.0000000000000002e-07
138,285.72,0.46728,2250.0,2.0000000000000002e-07
139,287.72,0.47336,2250.0,2.0000000000000002e-07
140,289.72,0.47938,2250.0,2.0000000000000002e-07
141,291.72,0.48533,2250.0,2.0000000000000002e-07
142,293.72,0.49122,2250.0,2.0000000000000002e-07
143,295.71,0.49703,2250.0,2.0000000000000002e-07
144,297.71,0.50278,2250.0,2.0000000000000002e-07
145,299.71,0.50846,2250.0,2.0000000000000002e-07
146,301.71,0.51407,2250.0,2.0000000000000002e-07
147,303.71,0.51962,2250.0,2.0000000000000002e-07
148,305.7,0.52509,2250.0,2.0000000000000002e-07
149,307.7,0.5305,2250.0,2.0000000000000002e-07
150,309.7,0.53585,2250.0,2.0000000000000002e-07
151,311.7,0.54121,2250.0,2.0000000000000002e-07
152,313.7,0.54651,2250.0,2.0000000000000002e-07
153,315.69,0.55176,2250.0,2.0000000000000002e-07
154,317.69,0.55699,2250.0,2.0000000000000002e-07
155,319.69,0.56214,2250.0,2.0000000000000002e-07
156,321.69,0.56724,2250.0,2.0000000000000002e-07
157,323.69,0.57226,2250.0,2.0000000000000002e-07
158,325.68,0.57722,2250.0,2.0000000000000002e-07
159,327.68,0.58211,2250.0,2.0000000000000002e-07
160,329.68,0.58693,2250.0,2.0000000000000002e-07
161,331.68,0.59169,2250.0,2.0000000000000002e-07
162,333.68,0.59639,2250.0,2.0000000000000002e-07
163,335.67,0.60103,2250.0,2.0000000000000002e-07
164,337.67,0.6056,2250.0,2.0000000000000002e-07
165,339.67,0.61012,2250.0,2.0000000000000002e-07
